predict	b	e	m	t
b	0.5619765787550064	0.016278519466603966	0.03706026781925508	0.3846846339591345
t	0.38646854794672447	0.058031534413358864	0.018376407204023105	0.5371235104358936
b	0.9575034065576734	0.0053948019192827604	0.009343284978436455	0.02775850654460758
e	0.07311519715320591	0.7470368729657779	0.1292925920096428	0.05055533787137347
e	0.00041395205535339676	0.9977077638192385	0.0007782705461416557	0.001100013579266436
e	0.015534720592322939	0.9728049253894369	0.007385344052007614	0.004275009966232545
b	0.6296452804278537	0.15729402991452104	0.04178014156167269	0.17128054809595253
b	0.7081778976272454	0.09888314631394407	0.04940017825948004	0.14353877779933052
e	0.4142175790431959	0.4613263548740891	0.046568803399381506	0.0778872626833336
b	0.9300363987745729	0.013133365111811535	0.0186934831602712	0.03813675295334438
m	0.06126486178088617	0.13401946982477866	0.7563150334140344	0.04840063498030086
e	0.10787062706664535	0.7386089193325086	0.09460541861170534	0.05891503498914054
e	0.36266113307221826	0.557153662996938	0.027715613247961398	0.0524695906828823
e	0.08231700522032953	0.8872706341345722	0.013624183713910134	0.016788176931188035
b	0.5431543117595307	0.14628364303302305	0.06098576340425755	0.24957628180318867
b	0.6107335522334024	0.2185639258821076	0.04580668816804248	0.12489583371644766
t	0.15998705006487932	0.24488819787359928	0.09544297080132047	0.49968178126020096
e	0.30262567242718275	0.4786111367212308	0.09949369904207753	0.11926949180950895
b	0.6379275501247527	0.22424835484522151	0.071941920060756	0.0658821749692699
b	0.8975767023397939	0.014408837809297118	0.02004405945244117	0.06797040039846777
b	0.9593711158981969	0.00635219619555763	0.006530821447678147	0.027745866458567314
e	0.07402361677319869	0.7085221254947257	0.09038590102789353	0.1270683567041821
b	0.7605457377586085	0.07361910780454137	0.05385451683360567	0.11198063760324449
e	0.040390194022747385	0.45513865561789607	0.19220838296340506	0.3122627673959516
e	0.04194328653187809	0.9154394098633717	0.021907847687182246	0.020709455917568072
b	0.9359587117448986	0.010085359822708579	0.02077014859915159	0.03318577983324109
b	0.6350348257924677	0.23658849533942297	0.061260073143422716	0.06711660572468665
b	0.9374725679938695	0.009555312734591249	0.017806085248624898	0.03516603402291441
b	0.5165615128484103	0.24879100485015798	0.06479536001088654	0.16985212229054514
b	0.45717024731768485	0.1830598690296868	0.08445527610238567	0.27531460755024284
e	0.057010850352415904	0.8537130652605884	0.05185498261464675	0.0374211017723489
e	0.008877186939935378	0.9417203330338798	0.017341259196335456	0.032061220829849246
e	0.22754174843829844	0.6346608932141499	0.06383513023072529	0.07396222811682641
b	0.8654092265094606	0.03975998586334832	0.03441339659970451	0.060417391027486646
b	0.9107461768626549	0.02946225585400338	0.025549506705722293	0.03424206057761944
b	0.5882723306518015	0.3312027953474995	0.028511737421798026	0.05201313657890107
b	0.4504216476482272	0.3674263329527758	0.08585259596542766	0.09629942343356925
t	0.013280690776277606	0.4235891205268771	0.010014355647858044	0.5531158330489873
e	0.014111189232629065	0.9518751009650026	0.014754190035967542	0.0192595197664008
b	0.729647398699722	0.053355963758338176	0.06148413380543243	0.15551250373650738
e	0.005542165606308971	0.929647234159154	0.01821681602819775	0.04659378420633939
e	0.07726449746387568	0.8537735037042034	0.0307733630683256	0.03818863576359541
e	0.4054208696080176	0.421330994888771	0.037812200789330654	0.13543593471388063
e	0.00022762309803937692	0.9983618683624476	0.0007369939485798785	0.000673514590933331
b	0.887254176513679	0.021326337227471293	0.03144610525127109	0.05997338100757863
b	0.519262098570484	0.3812641386878674	0.03804324017775923	0.061430522563889374
m	0.07457583311325638	0.24478334277885627	0.5031104952692531	0.17753032883863437
e	0.002565624862540873	0.7794658265280814	0.01283317132832093	0.20513537728105688
b	0.6786636637381214	0.1840356660942624	0.08668555866598808	0.0506151115016282
b	0.6278205425846861	0.273635658524476	0.03978293639173677	0.058760862499101146
b	0.4524604198460615	0.09988669731448577	0.3315393605407709	0.11611352229868191
b	0.9586511127310954	0.006525704695057252	0.00884202017485044	0.025981162398996862
e	0.038635200882127296	0.9061929387132327	0.02389852380933298	0.03127333659530712
t	0.22823191297152595	0.2233292942597345	0.268180837072098	0.2802579556966416
e	0.0010148392344813855	0.993324999162228	0.0033649002744022957	0.002295261328888133
b	0.903117889502264	0.017560962681434724	0.034308439447543256	0.04501270836875812
b	0.7193149231038231	0.09780550110146069	0.06923095909834592	0.1136486166963702
b	0.6470028298217457	0.04935867353823715	0.1422324847442455	0.1614060118957716
b	0.5747432923332919	0.13321376103244315	0.1060255265929309	0.18601742004133404
b	0.963971774941996	0.012759045905080823	0.009155447694963376	0.014113731457959614
e	0.0789931821669393	0.8634462117584715	0.02752053675847447	0.030040069316114717
b	0.9727439669181657	0.005720174640304598	0.007561581297845759	0.013974277143683798
b	0.4933740952446259	0.3510050641894939	0.043004663818011796	0.11261617674786838
b	0.862138331234106	0.015924306165494066	0.024389014678705506	0.09754834792169445
e	0.00038718987112827175	0.9945713426172587	0.0016828971228370715	0.003358570388775981
e	0.013123436036606418	0.9629719376104486	0.01294780904848065	0.010956817304464286
e	0.003178232864095235	0.9831873564635939	0.0052304853535262786	0.008403925318784597
e	0.08803587357968956	0.7910590987691487	0.03997050287952826	0.08093452477163345
e	0.10155153470408311	0.7945457750650129	0.052117534426347284	0.0517851558045568
b	0.9333944388803361	0.01936644562493317	0.018892827443918868	0.02834628805081182
e	0.32095690446810304	0.6082618178745999	0.02810576930004221	0.04267550835725489
b	0.5632901135105509	0.2276367348167161	0.0865384264734437	0.12253472519928937
e	0.025458579553176916	0.9125144963755851	0.02019921339588202	0.041827710675356164
b	0.8134955359112024	0.04467674791944467	0.05296348103038794	0.08886423513896509
e	0.09536171184188182	0.8099575802606105	0.04982162459952202	0.04485908329798567
e	0.1929030930312994	0.6884239622952435	0.03586660561636831	0.08280633905708873
e	0.36771006294788516	0.5410867949745476	0.0215681262750802	0.06963501580248707
m	0.034956167461713004	0.006324794286757171	0.9427927799127986	0.01592625833873125
b	0.6882634830393459	0.19891018543695846	0.04268135971284536	0.0701449718108503
b	0.6136835002294068	0.23799992407191362	0.04337052743610258	0.10494604826257699
e	0.1882281146747436	0.7471970545865094	0.01801464109663363	0.0465601896421135
b	0.5669648398051217	0.24191886074087246	0.053662461154331396	0.1374538382996744
b	0.5339167657292989	0.19970066379799584	0.0673327325801969	0.19904983789250832
e	0.16546331288721147	0.5383432847505016	0.12812138874656823	0.1680720136157188
e	0.008156910143319476	0.8848716213578633	0.08401826260599624	0.02295320589282092
e	0.00433005679739378	0.8510302356136995	0.13195366184876503	0.012686045740141675
e	0.18821607235222113	0.6595440173552869	0.06144601068129688	0.09079389961119516
b	0.42383109492158094	0.19377496491353333	0.24931190667175976	0.1330820334931259
e	0.028927627544104433	0.9212428874800312	0.018259361767149724	0.03157012320871468
e	0.333325119234145	0.47455657457848177	0.09779978896546129	0.09431851722191202
b	0.823878441381929	0.03464047169905901	0.05729398759922386	0.08418709931978816
e	0.3134760690170723	0.5820329445636709	0.03964645262387582	0.06484453379538083
b	0.5614065645391874	0.22444792132787492	0.06277195447553771	0.15137355965739996
b	0.9787761109754847	0.005427236207498491	0.006878966617958637	0.008917686199058382
e	0.00135693893018724	0.9924146564175012	0.002833568893150265	0.003394835759161381
e	0.19681914798181885	0.5913512371081527	0.0974537296785541	0.11437588523147427
e	0.0002821002802522467	0.9974743449329212	0.0015239104232265478	0.0007196443635998238
b	0.725040505280629	0.1933138632272334	0.02908926235030029	0.05255636914183725
e	0.044436287378088475	0.914443818993567	0.01891941282223821	0.02220048080610636
b	0.7488771028543487	0.02886638956074186	0.047879285953322366	0.1743772216315871
b	0.8376835302287853	0.030335112397334912	0.04615283908168571	0.08582851829219408
b	0.8290664764900589	0.0548056459710338	0.034357603647842405	0.0817702738910648
b	0.511285618175161	0.021321839868580262	0.04042533631286702	0.4269672056433917
b	0.6038583066499519	0.19615695999116448	0.061731047638051754	0.13825368572083185
b	0.6268811128356812	0.264670968879279	0.03776300712018814	0.07068491116485169
e	0.021875580126195157	0.9402252146830921	0.025212853696249794	0.012686351494462858
e	0.011805235140223863	0.8847466921006558	0.05782456754996931	0.04562350520915101
b	0.9591992063769994	0.00923869254214043	0.01681421586037243	0.014747885220487839
b	0.5453000869967793	0.16786114784631728	0.07527397291723716	0.21156479223966615
b	0.9924616870213127	0.0010316454780818596	0.00230072179377928	0.004205945706826282
b	0.8552862846184789	0.0208598142774179	0.025751684731607674	0.0981022163724954
t	0.26396009986818825	0.019042881178241287	0.04094713011629672	0.6760498888372738
e	0.010317950843850409	0.9364369781261302	0.023109193272814292	0.030135877757205106
b	0.6205709507482252	0.16501249888302794	0.10953900369716793	0.10487754667157895
e	0.004968442654463826	0.9555999871510639	0.015317101418737114	0.0241144687757354
b	0.8962749513548566	0.022220283044334144	0.022882771247970186	0.05862199435283916
e	0.013180606680322062	0.9492696697960488	0.017149193447078978	0.020400530076550027
b	0.4928194130971481	0.40420081220950094	0.02776231737632242	0.07521745731702854
e	0.11635190885261042	0.8096088150958852	0.03493944172640769	0.03909983432509676
b	0.4507942279877682	0.445122592221796	0.04007368462173659	0.06400949516869911
b	0.8173514735790521	0.12155301701594345	0.023119314589052704	0.03797619481595168
e	0.3690852583726543	0.400528612531381	0.09396781564562302	0.13641831345034178
b	0.5379620973245313	0.321497306201841	0.07210229078982715	0.06843830568380051
e	0.014787026150826749	0.9366810155506977	0.01254435128228452	0.035987607016191046
b	0.7979511010927558	0.02858204067742158	0.05340833483343499	0.12005852339638753
m	0.24222380071415764	0.010237237563425164	0.6949239598857104	0.05261500183670678
t	0.36786928922627476	0.15607761765038294	0.06656276472640439	0.40949032839693794
e	0.0716160267239056	0.5880448358492207	0.03944071188075276	0.300898425546121
b	0.6335659605243104	0.24610088025152504	0.07387890800303158	0.04645425122113301
e	0.0005487474939617386	0.9974078613618201	0.0009228431022787487	0.0011205480419394349
e	0.004282671729457906	0.973005835493053	0.012483960856882378	0.010227531920606686
e	0.017443038007225572	0.9506076062691277	0.014384367729008096	0.0175649879946387
b	0.7598330840083671	0.06344246823629318	0.05765229034660556	0.11907215740873409
e	0.003531186064468846	0.6554992022310603	0.3171424436601348	0.02382716804433607
b	0.935199983906717	0.016210330672635918	0.013671888673195144	0.034917796747451955
e	0.2687101412444846	0.6388723444054151	0.04363309525766264	0.04878441909243781
t	0.17879821860947126	0.03000053231095696	0.05080058831544655	0.7404006607641253
b	0.5131129116851117	0.2649428607682635	0.12226033886416489	0.09968388868245986
b	0.9039262802378114	0.03646113165986662	0.020815068645538715	0.038797519456783156
b	0.975168754450002	0.009195065303532675	0.006059294810776275	0.009576885435689006
e	0.00025764926547821443	0.9986819538388353	0.0005167281143928904	0.0005436687812935163
b	0.41888139298559046	0.39473854395658153	0.08274310679250226	0.10363695626532582
m	0.12803263468506837	0.02421918807314256	0.7911813130868177	0.05656686415497128
b	0.34666901922827903	0.3002566106239518	0.23374185236351086	0.11933251778425819
e	0.002343470734990172	0.9905006183563112	0.003949140099997933	0.0032067708087008357
b	0.9818744526631448	0.004431149508833533	0.005023698961547366	0.008670698866474338
b	0.629659228370947	0.18407916467158442	0.05492879529540183	0.1313328116620669
b	0.5777649252258683	0.2930855159358672	0.04034950163312362	0.08880005720514102
e	0.01431749316303472	0.8064761310177746	0.14593192200132127	0.033274453817869414
b	0.9834658194173456	0.002197916356565416	0.00336021381596084	0.010976050410128268
e	0.004818451884774862	0.9680114116985818	0.014858641119546438	0.012311495297096728
b	0.7964361929872696	0.013009419021769459	0.04255129059192544	0.1480030973990354
e	0.09831723716091108	0.5638732232182945	0.12399178679537765	0.21381775282541693
b	0.683881312098688	0.171621200250661	0.045956497582930356	0.09854099006772073
b	0.9785656744115557	0.00424457292809598	0.007644097927204428	0.009545654733143718
m	0.029182853167725873	0.04647205877721915	0.839579914796189	0.08476517325886611
b	0.5500157458382823	0.06344863441517576	0.06793087968361432	0.31860474006292755
t	0.2144238953660804	0.059470619821556166	0.07582612162829437	0.6502793631840691
b	0.9875374400232987	0.001893774591411827	0.006476581824666516	0.004092203560622946
e	0.006194927628325759	0.791123096435481	0.011139327381592505	0.19154264855460088
b	0.4896973475488336	0.37692559307197554	0.029899892923697755	0.10347716645549326
e	0.0014006630620961868	0.9912391625363488	0.0029845599763807865	0.0043756144251743566
b	0.9602888798329012	0.010489357963066595	0.014421925551625888	0.014799836652406138
e	0.1109177857767082	0.795163914186701	0.0382420195482376	0.05567628048835326
e	0.0019301424994650283	0.9427978275367371	0.015644472227636468	0.03962755773616118
t	0.023713341190503792	0.05442966851997948	0.046932505497099146	0.8749244847924176
t	0.3941650294533388	0.009949737941723694	0.01497038737030566	0.5809148452346318
b	0.7189373307611021	0.04885372896303656	0.07264278801181602	0.1595661522640454
b	0.7445258887575464	0.06018479454734228	0.06210735671604264	0.13318195997906884
b	0.7475587157620556	0.11329249489174487	0.05029463388341844	0.08885415546278119
e	0.0022430746847782223	0.6494328703708887	0.33904119146533995	0.009282863478993207
e	0.24504404557089823	0.4053924131325701	0.12933910666341236	0.22022443463311947
m	0.006537207505947449	0.03605196629043316	0.9333779790512243	0.024032847152395058
b	0.7030593560377044	0.14038927114039226	0.09318250287765044	0.06336886994425286
b	0.596432045713408	0.02016234487637718	0.022833921674839077	0.36057168773537585
b	0.9433520980888039	0.015458391147831015	0.016622361957203746	0.024567148806161388
m	0.13886485699785844	0.18739746415636144	0.5137505421282716	0.15998713671750855
e	0.24712719565333277	0.5478766888358799	0.09169061094632595	0.11330550456446135
b	0.9596704478350041	0.01131684075054285	0.011513482629716253	0.017499228784736653
b	0.9014782066130683	0.012826575277061172	0.023355243710286598	0.06233997439958395
e	0.09561264674954607	0.6949318754231201	0.04660459361464097	0.16285088421269275
b	0.6826033245348317	0.175622994167586	0.032340996846537136	0.10943268445104508
m	0.0183136684659952	0.01955169146088925	0.926412816159182	0.03572182391393366
b	0.60661701620288	0.11947426130118871	0.15565699246940312	0.11825173002652815
e	0.008712358020465622	0.7901493326098683	0.18234053654147736	0.018797772828188692
b	0.8154932186454705	0.03409810565963817	0.053582343935455114	0.09682633175943622
b	0.8347303111786838	0.03276833931359178	0.04382419344056627	0.08867715606715809
b	0.7012170403278367	0.15172332247811188	0.04727170792412944	0.09978792926992193
b	0.8968675279666978	0.021498452292857833	0.023712170035803254	0.05792184970464115
b	0.9588121590542747	0.0077559703702225905	0.01132922474942054	0.02210264582608196
b	0.9825609723404806	0.0026921784954666915	0.004529017325770929	0.01021783183828196
b	0.928595005170474	0.014269381354417812	0.017494140604893415	0.03964147287021474
b	0.5289969684968082	0.2517157920091687	0.11878759223722758	0.10049964725679539
b	0.5814412206136265	0.3388191695353047	0.04792037032861013	0.03181923952245863
e	0.004118731197351287	0.9737400960088195	0.017046598392829113	0.005094574401000117
b	0.9348260970763341	0.010891960394697966	0.020756232783972966	0.03352570974499497
t	0.03526534682612081	0.12690615839990757	0.06521943168665251	0.772609063087319
e	0.2798422159429448	0.419931889839431	0.10495327570445671	0.19527261851316755
b	0.7814119049956914	0.036764561788857425	0.03869522008163709	0.14312831313381438
b	0.3903011735289799	0.3426543397155316	0.16010302000355567	0.10694146675193289
b	0.6638129665317672	0.22791956533877128	0.0648740547165112	0.04339341341295036
b	0.9763467967186061	0.0053106051258382	0.007602855599874318	0.01073974255568147
e	0.001446809970325538	0.9862440954204066	0.006812446701246213	0.005496647908021599
b	0.9827379044426635	0.004550592634386783	0.004177311699564464	0.008534191223385133
b	0.43646950744973384	0.3098703544880492	0.10739425696251359	0.14626588109970348
b	0.6180677329973425	0.27586304301830017	0.04653109590884123	0.05953812807551599
t	0.22593047969195357	0.04497800993459481	0.034487929653355	0.6946035807200966
e	0.002402515201168341	0.9287255262073396	0.05474284129233871	0.014129117299153195
b	0.48630328353383356	0.38197365066491745	0.030687194620251615	0.10103587118099737
b	0.8176456622993263	0.05459535490943139	0.04276093759160963	0.08499804519963254
b	0.93254072103155	0.007664215738867195	0.010657641557394437	0.049137421672188514
b	0.6777582621618587	0.1438226815595585	0.0745938565414464	0.10382519973713636
e	0.07790927410046385	0.8257809213910231	0.0577239087374314	0.03858589577108163
b	0.8360070134600563	0.014625660277530206	0.03384853926812125	0.11551878699429223
e	0.35070365046441865	0.4402619771304238	0.11595997105423378	0.0930744013509238
b	0.9471812996177209	0.012261429977078027	0.009917409558746123	0.030639860846454984
e	0.0030693476948442412	0.9887194068713253	0.002378969230847852	0.005832276202982652
b	0.9754229051718516	0.0049362704905962	0.006984026792570641	0.012656797544981568
b	0.6617784905473388	0.1689755182926257	0.049009961199238505	0.12023602996079677
e	0.0006769315927656542	0.991337948143835	0.003762786474251797	0.004222333789147563
t	0.09138786197585197	0.3659016814249505	0.05256024950297403	0.4901502070962234
b	0.5289961767187028	0.2935043012158171	0.04622706337969917	0.13127245868578089
t	0.12808491623178067	0.18500786418127402	0.12603719204731606	0.5608700275396293
b	0.8939139162545267	0.023862901742954173	0.03300219232054886	0.049220989681970376
e	0.07723670617887127	0.8076406108426329	0.05729300269823823	0.057829680280257464
b	0.8041975492716072	0.04194928476129478	0.033138446278995926	0.12071471968810199
b	0.9172587197296509	0.01984683105153616	0.03201442633676272	0.03088002288205027
b	0.3958984974110079	0.20322424880388967	0.21638563503606853	0.1844916187490339
b	0.9560328000063466	0.003977993559002689	0.008687641163303257	0.0313015652713473
e	0.17077135713075803	0.6557831629733889	0.0766988854907557	0.09674659440509745
b	0.715423971155564	0.19795200851274558	0.041498076082101994	0.045125944249588414
e	0.0785902069866225	0.7195671186273541	0.08643983368041325	0.11540284070561017
e	0.2859062202984931	0.5959121208833112	0.0478630717827359	0.07031858703545973
e	0.17562145988021163	0.6857522654859389	0.06961876808566926	0.06900750654818022
m	0.03271954525663289	0.2475204089036303	0.6084718960541081	0.11128814978562869
b	0.7280742027759405	0.1339531703935717	0.034987844957045273	0.10298478187344251
e	0.1058957047161358	0.8668703764778903	0.010179396132645858	0.017054522673328038
e	0.12226321880182042	0.41230521662109937	0.0752537474486033	0.39017781712847693
m	0.06263031004763626	0.06048503672273554	0.7608331706354649	0.1160514825941634
b	0.4808460431659722	0.37041069303618945	0.05254906380042319	0.09619419999741516
b	0.9045360548784938	0.021310988315539132	0.02845000669722001	0.045702950108747156
b	0.5680972589022112	0.26628252930415547	0.062237780266090136	0.10338243152754314
e	0.2693616040228452	0.2868747758404381	0.18572677016083322	0.2580368499758835
b	0.8702012057432629	0.031570631722444245	0.027700487092046446	0.07052767544224643
b	0.976106819331687	0.005243557357569857	0.006567520287419188	0.012082103023324032
b	0.45164206612463653	0.3975906188179165	0.05180588491617394	0.09896143014127295
e	0.2976119199084897	0.5771549499644235	0.04187841843816787	0.08335471168891892
e	0.0008828001517283756	0.9939676539263114	0.002191091728128145	0.0029584541938320885
e	0.0012150783164400138	0.9920453175929286	0.0032018258125107867	0.003537778278120659
e	0.07638037071591154	0.7712082127945259	0.0529169000385456	0.099494516451017
b	0.9841696999941634	0.0035200443377110696	0.005808573766863795	0.0065016819012620065
b	0.8841272163487667	0.01572521687175683	0.01858717025890518	0.08156039652057127
e	0.08736920469725384	0.7760597111475876	0.04658679439291647	0.08998428976224208
e	0.08353400047530547	0.7356596180012253	0.06740822239511786	0.11339815912835123
b	0.4987805931849162	0.33189273472772235	0.07240261467494162	0.09692405741241977
e	0.002430152300655033	0.9875633844185362	0.005340375429409498	0.004666087851399334
e	0.15944555800545063	0.4556081075634373	0.24416994599972108	0.140776388431391
b	0.8987475770037588	0.025450595132824327	0.019112721209281994	0.05668910665413503
b	0.9558761465451034	0.006575344566451792	0.020175880353307325	0.017372628535137498
b	0.7745868931443891	0.03294953198801802	0.06029751528584723	0.13216605958174563
b	0.6148554569446231	0.20311948215965764	0.0911803304087086	0.0908447304870108
e	0.000248965147597487	0.9981891560887516	0.0008772934002492753	0.0006845853634016356
e	0.17074853107782087	0.6566621620028835	0.06488815445758113	0.10770115246171452
b	0.44095939207067275	0.11623204399183792	0.09290888751899654	0.3498996764184929
b	0.9785914026187409	0.006207987404837826	0.006767108635372075	0.008433501341049318
e	0.010070735368495703	0.7846719578279848	0.01930635708296292	0.1859509497205565
b	0.5665772640165672	0.04945797819935701	0.09059044123404258	0.2933743165500333
b	0.39845529107916	0.2417547503837182	0.10492981191311578	0.2548601466240061
e	0.01554869313620202	0.9373230657754315	0.019460964193737804	0.02766727689462863
t	0.3633134947411146	0.14288540713167017	0.03506815086523937	0.4587329472619759
b	0.9594739178335505	0.0037178531121084477	0.0073967659875692655	0.02941146306677174
e	0.0026835393395697148	0.9817937719891975	0.007242025330797169	0.008280663340435602
t	0.07594072224823885	0.3963648514333321	0.04292790073139684	0.48476652558703226
b	0.8896940768327645	0.01260084158156834	0.029393281848034518	0.06831179973763274
e	0.009182269632993517	0.9798822709104008	0.0069238896424048315	0.004011569814200886
b	0.7542581986330295	0.035095372726235405	0.030901737800405456	0.17974469084032973
e	0.3896435753222753	0.46511165170071495	0.09369334286674308	0.05155143011026674
e	0.1587851002791911	0.41097565117955714	0.13082396516141834	0.2994152833798334
m	0.34559959794753065	0.03506051433282139	0.4977605134505036	0.1215793742691444
b	0.571934379511425	0.21344180313167682	0.0557485045632347	0.15887531279366338
e	0.2035675035706539	0.3605393665070068	0.20771946761318985	0.2281736623091495
e	0.21111564986734477	0.5172615815258538	0.11709271836625883	0.15453005024054264
b	0.5850560018214294	0.26925761869810405	0.07706601990283615	0.0686203595776305
t	0.13616551954515813	0.08553848683050308	0.050258805601085275	0.7280371880232536
b	0.9473754250358561	0.010869550949028155	0.008220628972670153	0.03353439504244556
b	0.9192884104486385	0.022963924550514624	0.019534282905389125	0.038213382095457486
e	0.31218574195924376	0.58111163666843	0.04048268173981075	0.06621993963251559
b	0.6804508762678836	0.05989791186234547	0.1935633081393841	0.06608790373038678
b	0.6533998922892292	0.23873113043641805	0.05403667133202516	0.05383230594232748
m	0.35957686059088756	0.02427580954669197	0.5500743950683035	0.06607293479411694
b	0.5949471209122873	0.2115158510739259	0.0776932827182396	0.11584374529554724
b	0.9518896056315594	0.0030743194904962945	0.005096639096554414	0.03993943578138978
e	0.003539580936644764	0.6636098098644208	0.07834873486529563	0.2545018743336388
b	0.4726240489607262	0.35692707778462596	0.061161987396750515	0.10928688585789746
b	0.4274255365915019	0.38197409704958263	0.06350402879176632	0.12709633756714903
e	0.16552273370029402	0.5270742224856979	0.049361003526498616	0.25804204028750943
e	0.010305378605842462	0.9597118325513098	0.020855201053071662	0.009127587789776181
b	0.9001007761941778	0.011161656381163737	0.027735101688226085	0.06100246573643252
b	0.671067459057326	0.1380179723409812	0.06457578675851593	0.126338781843177
e	0.0843442253698826	0.7511954377190212	0.06653378532965692	0.09792655158143924
b	0.9621210015843559	0.007628290665877254	0.015621395387444005	0.014629312362322771
t	0.18116340052296578	0.02222906379756286	0.046587526794665726	0.7500200088848057
e	0.12331211115424941	0.6466722715085093	0.11628785225724922	0.11372776507999223
e	0.23208570436943726	0.3287041133928376	0.18349434513621252	0.2557158371015125
e	0.15330064690710085	0.49404930051727286	0.16601618010113298	0.1866338724744934
b	0.6910048075360213	0.1359495670762527	0.060943815806485425	0.11210180958124047
e	0.003355198864434316	0.9823609637088851	0.00932726186243181	0.004956575564248944
b	0.6664647940307348	0.1979894545967578	0.04494781723375927	0.0905979341387481
e	0.003465045217502103	0.9539334859601349	0.006245220947561794	0.03635624787480107
b	0.9408254698776429	0.014215871931452356	0.023863888937875187	0.02109476925302951
e	0.012050699366344682	0.954092823916419	0.01628734699005473	0.017569129727181665
e	0.10662966038676128	0.7881894338795469	0.0405299323704707	0.06465097336322127
e	0.08515859615081377	0.7468679617604186	0.08206392887547782	0.08590951321328989
e	0.02464062826834023	0.9521831414035594	0.012519048641798548	0.010657181686301864
b	0.472152536292061	0.3973667431506576	0.058460036351472865	0.07202068420580839
b	0.9434441416749795	0.01904091378678807	0.012831967731258507	0.024682976806973903
b	0.921498766151688	0.024512124905843168	0.022689918473727946	0.03129919046874089
b	0.37030926597073	0.3355524532992503	0.1346245548035522	0.15951372592646745
b	0.59773248384833	0.29579199430272224	0.04844164080268922	0.058033881046258624
e	0.17653908316493244	0.4194920982164607	0.07931692421081585	0.32465189440779096
t	0.13281510241228825	0.1486196269188048	0.050715769603652025	0.6678495010652549
b	0.9017408652237597	0.02170463177797852	0.0351618228167953	0.041392680181466426
b	0.9686955300067108	0.0029889413296477173	0.013026757976204152	0.015288770687437283
e	0.006443555898192386	0.952018863513104	0.02912762264918733	0.012409957939516198
b	0.6828248062007093	0.18157540835027933	0.03840574800362237	0.09719403744538906
e	0.005221407137947443	0.6749882839784899	0.2993931958585023	0.02039711302506026
b	0.5021903444999132	0.3528844076809548	0.054924611223775094	0.09000063659535693
e	0.07708321819665147	0.7753566102109466	0.0758551241472898	0.07170504744511215
b	0.8301573446183481	0.09778733610738015	0.029149188438427287	0.04290613083584432
t	0.16430120128958342	0.2894500198617571	0.10476149312630509	0.44148728572235435
b	0.9368939912497007	0.015562615021803424	0.020353984445041988	0.027189409283453897
b	0.579145619877484	0.223570384668518	0.04909335776696338	0.14819063768703464
